Player,Id
Juraj Slafkovsky,8483515
Simon Nemec,8483495
Logan Cooley,8483431
Cutter Gauthier,8483445
David Jiricek,8483460
Kevin Korchinski,8483466
Marco Kasper,8483464
Matthew Savoie,NOT FOUND
Pavel Mintyukov,8483490
Conor Geekie,8483447
Denton Mateychuk,8483485
Frank Nazar,8483493
Rutger McGroarty,8483487
Jonathan Lekkerimaki,8483476
Noah Ostlund,8483500
Joakim Kemell,8483465
Lian Bichsel,8483425
Liam Ohgren,8483499
Ivan Miroshnichenko,8483491
Owen Pickering,8483503
Nathan Gaucher,8483444
Jimmy Snuggerud,8483516
Danila Yurov,8483525
Sam Rinzel,8483506
Filip Mesar,8483488
Filip Bystedt,8483428
Jiri Kulich,8483468
Maveric Lamoureux,8483472
Brad Lambert,8483471
Isaac Howard,8483455
Reid Schaefer,8483513
Mason McTavish,8482745
Luke Hughes,8482684
Kent Johnson,8482660
Simon Edvinsson,8482762
William Eklund,8482667
Brandt Clarke,8482730
Dylan Guenther,8482699
Tyler Boucher,8482674
Matt Coronato,8482679
Isak Rosen,8482765
Sebastian Cossa,8482657
Brennan Othmann,8482747
Zachary Bolduc,8482737
Chaz Lucius,8482780
Fedor Svechkov,8482768
Jesper Wallstedt,8482661
Fabian Lysell,8482763
Xavier Bourgault,8482673
Wyatt Johnston,8482740
Matthew Samoskevich,NOT FOUND
Corson Ceulemans,8482678
Carson Lambos,8482781
Zachary L'Heureux,8482742
Oskar Olausson,8482712
Chase Stillman,8482714
Zachary Dean,NOT FOUND
Logan Mailloux,8482733
Nolan Allan,8482700
Quinton Byfield,8482124
Alexander Holtz,8482125
Jack Quinn,8482097
Marco Rossi,8482079
Cole Perfetti,8482149
Yaroslav Askarov,8482137
Dylan Holloway,8482077
Rodion Amirov,8482099
Kaiden Guhle,8482087
Lukas Reichel,8482117
Braden Schneider,8482073
Shakir Mukhamadullin,8482166
Yegor Chinakhov,8482475
Hendrix Lapierre,8482148
Tyson Foerster,8482159
Connor Zary,8482074
Justin Barron,8482111
Jake Neighbours,8482089
Jacob Perreault,8482150
Ridly Greig,8482092
Brendan Brisson,8482153
Mavrik Bourque,8482145
Ozzy Wiesblatt,8482103
Alex Turcotte,8481532
Philip Broberg,8481598
Vasili Podkolzin,NOT FOUND
Victor Soderstrom,8481599
Cam York,8481546
Thomas Harley,8481581
Lassi Thomson,8481575
Ville Heinola,8481572
Samuel Poulin,NOT FOUND
Tobias Bjornfot,8481600
Simon Holmstrom,8481601
Jakob Pelletier,8481592
Nolan Foote,8481518
Ryan Suzuki,8481576
Brayden Tracey,8481530
John Beecher,8481556
Ryan Johnson,8460527
Vitali Kravtsov,8480833
Ty Dellandrea,8480848
Grigori Denisenko,8480844
Martin Kaut,8480822
Liam Foudy,8480853
Jay O'Brien,8480877
Rasmus Kupari,8480845
Ryan Merkley,8480847
Filip Johansson,8480872
Dominik Bokk,8480827
Jacob Bernard-Docker,8480879
Nicolas Beaudin,8480814
Nils Lundkvist,8480878
Joe Veleno,8480813
Alexander Alexeyev,8480823
Nolan Patrick,8479974
Cody Glass,8479996
Lias Andersson,8480072
Gabriel Vilardi,8480014
Cal Foote,8479984
Erik Brannstrom,8480073
Juuso Valimaki,8479976
Urho Vaakanainen,8480001
Pierre-Olivier Joseph,8480058
Kristian Vesalainen,8480005
Shane Bowers,8480032
Klim Kostin,8480011
Olli Juolevi,8479355
Alexander Nylander,NOT FOUND
Logan Brown,8479366
Logan Stanley,8479378
Dennis Cholowski,8479395
Julien Gauthier,8479328
German Rubtsov,8479424
Henrik Borgstrom,8479404
Max Jones,8479368
Riley Tufte,8479362
Lucas Johansen,8479321
Jakub Zboril,8478415
Zachary Senyshyn,NOT FOUND
Colin White,8465005
Noah Juulsen,8478454
Jacob Larsson,8478491
Gabriel Carlsson,8478506
Nick Merkley,8478447
Michael Dal Colle,8477936
Jake Virtanen,8477937
Haydn Fleury,8477938
Brendan Perlini,8477943
Julius Honka,8477945
Conner Bleackley,NOT FOUND
Nikita Scherbak,8477957
Nikolay Goldobin,8477958
Josh Ho-Sang,NOT FOUND
John Quenneville,8477961
Samuel Morin,8477502
Mirco Mueller,8477509
Kerby Rychel,8477510
Frederik Gauthier,8477512
Emile Poirier,8477486
Hunter Shinkaruk,8477445
Michael McCarron,8477446
Marko Dano,8477448
Morgan Klimchuk,8477449
Jason Dickinson,8477450
Nail Yakupov,8476855
Ryan Murray,8476850
Griffin Reinhart,8476852
Derrick Pouliot,8476884
Slater Koekkoek,8476886
Mikhail Grigorenko,8476888
Mark Jankowski,8476873
Olli Maatta,8476874
Jordan Schmaltz,8476877
Brendan Gaunce,8476867
Henrik Samuelsson,8476868
Stefan Matteau,8476870
Duncan Siemens,8476464
Ryan Murphy,8476465
Sven Baertschi,8476466
Joel Armia,8476469
Nathan Beaulieu,8476470
Mark McNeill,8476471
Oscar Klefbom,8476472
Connor Murphy,8476473
Stefan Noesen,8476474
Tyler Biggs,NOT FOUND
Joe Morrow,8476476
Matt Puempel,8476477
Stuart Percy,8476478
Zack Phillips,NOT FOUND
Nicklas Jensen,8476482
Brett Connolly,8475792
Alexander Burmistrov,8475788
Dylan McIlrath,8475795
Brandon Gormley,8475759
Derek Forbort,8475762
Joey Hishon,8475767
Nick Bjugstad,8475760
Beau Bennett,8475761
Jarred Tinordi,8475797
Mark Pysyk,8475796
Quinton Howden,8475769
Mark Visentin,8475771
Emerson Etem,8475770
Scott Glennie,8475173
Jared Cowen,8475174
Magnus Paajarvi,8475175
Ryan Ellis,8475176
Calvin de Haan,8475177
Dmitri Kulikov,NOT FOUND
Peter Holland,8475180
David Rundblad,8475182
Louis Leblanc,8475183
Jacob Josefson,8475185
John Moore,8475186
Jordan Schroeder,8475147
Tim Erixon,8475148
Jordan Caron,8475150
Philippe Paradis,NOT FOUND
Dylan Olsen,8475153
Carter Ashton,8475154
Simon Despres,8475155
Zach Bogosian,8474567
Nikita Filatov,8474566
Colin Wilson,8474569
Mikkel Boedker,8474571
Joshua Bailey,NOT FOUND
Cody Hodgson,8474570
Kyle Beach,NOT FOUND
Colten Teubert,8474575
Zach Boychuk,8474576
Joe Colborne,8474577
Jake Gardiner,8474581
Chet Pickard,NOT FOUND
Luca Sbisa,8474579
Michael Del Zotto,8474584
Anton Gustafsson,NOT FOUND
Tyler Cuma,8474585
Mattias Tedenby,8474582
Greg Nemisz,8474587
Viktor Tikhonov,8474588
Daultan Leveille,NOT FOUND
Tom McCollum,8474591
Kyle Turris,8474068
Thomas Hickey,8474066
Karl Alzner,8473991
Zach Hamill,8474045
Keaton Ellerby,8474184
Brandon Sutter,8474091
Alex Plante,8474046
Colton Gillies,8474121
Alexei Cherepanov,NOT FOUND
Logan MacMillan,NOT FOUND
Angelo Esposito,NOT FOUND
Riley Nash,8474062
Jonathon Blum,8474164
Patrick White,NOT FOUND
Brendan Smith,8474090
Nick Petrecki,8474032
Jim O'Brien,8474024
Nick Ross,NOT FOUND
Peter Mueller,8473526
James Sheppard,8473536
Michael Frolik,8473564
Bryan Little,8473412
Jiri Tlusty,8473482
Michael Grabner,8473546
Riku Helenius,8473474
Ty Wishart,8473501
Chris Stewart,8473485
Mark Mitera,NOT FOUND
David Fischer,NOT FOUND
Bob Sanguinetti,NOT FOUND
Dennis Persson,NOT FOUND
Patrik Berglund,8473534
Leland Irving,8473414
Ivan Vishnevskiy,8473582
Nick Foligno,8473422
Chris Summers,8473589
Matt Corrente,NOT FOUND
Bobby Ryan,8471676
Jack Johnson,8471677
Benoit Pouliot,8471678
Gilbert Brule,8471680
Jack Skille,8471681
Devin Setoguchi,8471682
Brian Lee,8471683
Luc Bourdon,8471684
Marek Zagrapan,NOT FOUND
Sasha Pokulok,NOT FOUND
Ryan O'Marra,8471689
Alex Bourret,NOT FOUND
Martin Hanzal,8471691
Ryan Parent,8471692
Jakub Kindl,8471693
Kenndal McArdle,8471694
Matt Lashoff,8471696
Nicklas Bergfors,NOT FOUND
Matt Pelech,8471700
Joe Finley,8471701
Matt Niskanen,8471702
Steve Downie,8471703
Vladimir Mihalik,8471704
Cam Barker,8471216
Andrew Ladd,8471217
Al Montoya,8471219
Rostislav Olesz,8471220
Alexandre Picard,8470678
Ladislav Smid,8471222
Boris Valabik,8471223
Lauri Tukonen,8471224
A.J. Thelen,NOT FOUND
Drew Stafford,8471226
Devan Dubnyk,8471227
Petteri Nokelainen,8471229
Marek Schwarz,8471230
Kyle Chipchura,8471231
Lauri Korpikoski,8471232
Travis Zajac,8471233
Wojtek Wolski,8471234
Lukas Kaspar,8471235
Andrej Meszaros,8471236
Kris Chucko,8471237
Rob Schremp,8471238
Jeff Schultz,8471240
Mark Fistric,8471241
Mike Green,8468436
Andy Rogers,NOT FOUND
Eric Staal,8470595
Nathan Horton,8470596
Nikolai Zherdev,NOT FOUND
Thomas Vanek,8470598
Milan Michalek,8470599
Braydon Coburn,8470601
Dion Phaneuf,8470602
Andrei Kostitsyn,8470603
Hugh Jessiman,8470605
Brent Seabrook,8470607
Robert Nilsson,8470608
Steve Bernier,8470609
Eric Fehr,8470611
Mark Stuart,8470614
Marc-Antoine Pouliot,8470615
Ryan Kesler,8470616
Mike Richards,8470617
Anthony Stewart,8470618
Jeff Tambellini,8470620
Patrick Eaves,8470622
Shawn Belle,8470623
Rick Nash,8470041
Kari Lehtonen,8470140
Jay Bouwmeester,8470151
Joni Pitkanen,8470137
Ryan Whitney,8470309
Scottie Upshall,8470105
Joffrey Lupul,8470207
Pierre-Marc Bouchard,8470153
Petr Taticek,8470248
Eric Nystrom,8470180
Keith Ballard,8470054
Steve Eminger,8470192
Alexander Semin,8470120
Chris Higgins,8470274
Jesse Niinimaki,NOT FOUND
Jakub Klepis,8470134
Boyd Gordon,8470159
Denis Grebeshkov,8470268
Jakub Koreis,NOT FOUND
Daniel Paille,8470230
Anton Babchuk,8470265
Sean Bergenheim,8470176
Ben Eager,8470280
Alexander Steen,8470257
Cam Ward,8470320
Martin Vagner,NOT FOUND
Mike Morris,8467486
Hannu Toivonen,8470084
Jim Slater,8470289
Ilya Kovalchuk,8469454
Alexandr Svitov,NOT FOUND
Stephen Weiss,8469457
Stanislav Chistov,8469458
Mikko Koivu,8469459
Mike Komisarek,8469460
Pascal Leclaire,8469461
Tuomo Ruutu,8469462
Dan Blackburn,8469463
Fredrik Sjostrom,8469464
Dan Hamhuis,8469465
Ales Hemsky,8469466
Chuck Kobasew,8469467
Igor Knyazev,NOT FOUND
R.J. Umberger,8469469
Carlo Colaiacovo,8469470
Jens Karlsson,NOT FOUND
Shaone Morrisonn,8469472
Marcel Goc,8469473
Colby Armstrong,8469474
Jiri Novotny,8469475
Tim Gleason,8469476
Lukas Krajicek,8469477
Alexander Perezhogin,8469478
Jason Bacashihua,8469479
Jeff Woywitka,8469480
Adrian Foster,NOT FOUND
Adam Munro,8469482
Dave Steckel,NOT FOUND
Rick DiPietro,8468481
Dany Heatley,8468482
Marian Gaborik,8468483
Rostislav Klesla,8468484
Raffi Torres,8468485
Scott Hartnell,8468486
Lars Jonsson,8468487
Nikita Alexeev,8468488
Brent Krahn,8468489
Mikhail Yakubov,8468490
Pavel Vorobiev,8468491
Alexei Smirnov,8468492
Ron Hainsey,8468493
Vaclav Nedorost,8468494
Artem Kryukov,NOT FOUND
Marcel Hossa,8468496
Alexei Mikhnov,8468497
Brooks Orpik,8468498
Krys Kolanos,8468499
Alexander Frolov,NOT FOUND
Anton Volchenkov,8468501
David Hale,8468502
Nathan Smith,8468503
Brad Boyes,8468504
Steve Ott,8468505
Brian Sutherby,8468506
Martin Samuelsson,8468507
Justin Williams,8468508
Niklas Kronwall,8468509
Jeff Taffe,8468510
